,Event.ID,daily.count,Event.Date,Source.Name,Source.Sectors,Source.Country,Event.Text,CAMEO.Code,Intensity,Target.Name,Target.Sectors,target.recode,Target.Country,Story.ID,Sentence.Number,Publisher,City,District,Province,Country,Latitude,Longitude
465065,20385613,8,8/23/13,Edward Snowden,"Dissident,Criminals / Gangs",United States,Make a visit,42,1.9,Brazil,,NA,Brazil,27649480,6,Daily News,Rio de Janeiro,Rio De Janeiro,Estado do Rio de Janeiro,Brazil,-22.9028,-43.2075
465438,20386019,8,8/23/13,Thief (Brazil),"Dissident,Criminals / Gangs",Brazil,Occupy territory,192,-9.5,Brazil,,NA,Brazil,27650256,1,Folha de Ṣo Paulo,Ribeirao Preto,Ribeirao Preto,Estado de Sao Paulo,Brazil,-21.1775,-47.8103
465442,20386023,8,8/23/13,Citizen (Brazil),"Social,General Population / Civilian / Social",Brazil,Express intent to meet or negotiate,36,4,Brazil,,NA,Brazil,27650273,1,Folha de Ṣo Paulo,Florianopolis,Florianopolis,Estado de Santa Catarina,Brazil,-27.5967,-48.5492
467885,20390927,8,8/25/13,R�_ger Pinto,"Upper House,Legislative / Parliamentary,(National) Minor Party,(National) Major Party,Parties,Center Right,Ideological,Government",Bolivia,Make a visit,42,1.9,Brazil,,NA,Brazil,27642754,4,Agencia EFE - Servi̤o em portugu̻s,Brasilia,Brasilia,Distrito Federal,Brazil,-15.7797,-47.9297
467993,20391057,8,8/25/13,R�_ger Pinto,"Upper House,Legislative / Parliamentary,(National) Minor Party,(National) Major Party,Parties,Center Right,Ideological,Government",Bolivia,Make a visit,42,1.9,Brazil,,NA,Brazil,27642980,5,Agencia EFE - Servi̤o em portugu̻s,La Paz,Porto Velho,Estado de Rondonia,Brazil,-9.75,-65.8667
467998,20391060,8,8/25/13,Bolivia,,Bolivia,Engage in diplomatic cooperation,50,3.5,Brazil,,NA,Brazil,27642996,3,Agence France-Presse,Brasilia,Brasilia,Distrito Federal,Brazil,-15.7797,-47.9297
467999,20391061,8,8/25/13,Brazil,,Brazil,Engage in diplomatic cooperation,50,3.5,Bolivia,,NA,Bolivia,27642996,3,Agence France-Presse,Brasilia,Brasilia,Distrito Federal,Brazil,-15.7797,-47.9297
468030,20391096,8,8/25/13,R�_ger Pinto,"Upper House,Legislative / Parliamentary,(National) Minor Party,(National) Major Party,Parties,Center Right,Ideological,Government",Bolivia,Make a visit,42,1.9,Brazil,,NA,Brazil,27643051,1,AP Spanish Worldstream,La Paz,Porto Velho,Estado de Rondonia,Brazil,-9.75,-65.8667
468034,20391099,8,8/25/13,R�_ger Pinto,"Upper House,Legislative / Parliamentary,(National) Minor Party,(National) Major Party,Parties,Center Right,Ideological,Government",Bolivia,Make a visit,42,1.9,Brazil,,NA,Brazil,27643051,2,AP Spanish Worldstream,Brasilia,Brasilia,Distrito Federal,Brazil,-15.7797,-47.9297
468112,20391181,8,8/25/13,R�_ger Pinto,"Upper House,Legislative / Parliamentary,(National) Minor Party,(National) Major Party,Parties,Center Right,Ideological,Government",Bolivia,Make a visit,42,1.9,Brazil,,NA,Brazil,27643256,6,Agence France-Presse,,,,Brazil,-15.8307,-47.6127
468592,20391697,8,8/25/13,Medical Personnel (Cuba),"Nongovernmental Organizations / Activists,Medical / Health NGOs",Cuba,Make a visit,42,1.9,Brazil,,NA,Brazil,27643988,1,Folha de Ṣo Paulo,Recife,Recife,Estado de Pernambuco,Brazil,-8.05389,-34.8811
566143,20579185,8,10/8/13,Citizen (Brazil),"Social,General Population / Civilian / Social",Brazil,Demonstrate or rally,141,-6.5,Unspecified Actor,Unspecified,Unidentified/Unspecified,,28034117,2,London Evening Standard,Sao Paulo,Sao Paulo,Estado de Sao Paulo,Brazil,-23.5475,-46.6361
566542,20579715,8,10/8/13,Citizen (Brazil),"Social,General Population / Civilian / Social",Brazil,Demonstrate or rally,141,-6.5,Unspecified Actor,Unspecified,Unidentified/Unspecified,,28036721,2,United News of Bangladesh Limited,Sao Paulo,Sao Paulo,Estado de Sao Paulo,Brazil,-23.5475,-46.6361
566951,20580161,8,10/8/13,Citizen (Brazil),"Social,General Population / Civilian / Social",Brazil,Demonstrate or rally,141,-6.5,Unspecified Actor,Unspecified,Unidentified/Unspecified,,28037538,2,London Evening Standard,Sao Paulo,Sao Paulo,Estado de Sao Paulo,Brazil,-23.5475,-46.6361
567459,20580702,8,10/8/13,Citizen (Brazil),"Social,General Population / Civilian / Social",Brazil,Demonstrate or rally,141,-6.5,Unspecified Actor,Unspecified,Unidentified/Unspecified,,28038377,5,O Estado de Ṣo Paulo,Morumbi,Eldorado,Estado de Mato Grosso do Sul,Brazil,-23.8022,-54.1028
567464,20580706,8,10/8/13,University of Campinas,"Social,Education",Brazil,"Obstruct passage, block",144,-7.5,Unspecified Actor,Unspecified,Unidentified/Unspecified,,28038387,3,O Estado de Ṣo Paulo,Sao Paulo,Sao Paulo,Estado de Sao Paulo,Brazil,-23.5475,-46.6361
567741,20581008,8,10/8/13,Protester (Brazil),"Dissident,Protestors / Popular Opposition / Mobs",Brazil,Demonstrate or rally,141,-6.5,Unspecified Actor,Unspecified,Unidentified/Unspecified,,28039106,2,Folha de Ṣo Paulo,Sao Paulo,Sao Paulo,Estado de Sao Paulo,Brazil,-23.5475,-46.6361
567955,20581240,8,10/8/13,Protester (Brazil),"Dissident,Protestors / Popular Opposition / Mobs",Brazil,Demonstrate or rally,141,-6.5,Unspecified Actor,Unspecified,Unidentified/Unspecified,,28039506,2,Agencia EFE - Servi̤o em portugu̻s,Rio de Janeiro,Rio De Janeiro,Estado do Rio de Janeiro,Brazil,-22.9028,-43.2075
567984,20581272,8,10/8/13,Citizen (Brazil),"Social,General Population / Civilian / Social",Brazil,Demonstrate or rally,141,-6.5,Unspecified Actor,Unspecified,Unidentified/Unspecified,,28039552,1,Agence France-Presse,Rio de Janeiro,Rio De Janeiro,Estado do Rio de Janeiro,Brazil,-22.9028,-43.2075
580032,20606872,8,10/15/13,Protester (Brazil),"Dissident,Protestors / Popular Opposition / Mobs",Brazil,Demonstrate or rally,141,-6.5,Unspecified Actor,Unspecified,Unidentified/Unspecified,,28082173,5,Agencia EFE - Servi̤o em portugu̻s,Sao Paulo,Sao Paulo,Estado de Sao Paulo,Brazil,-23.5475,-46.6361
580034,20606874,8,10/15/13,Education (Brazil),"Social,Education",Brazil,Demonstrate or rally,141,-6.5,Unspecified Actor,Unspecified,Unidentified/Unspecified,,28082227,2,Agencia EFE - Servi̤o em portugu̻s,Rio de Janeiro,Rio De Janeiro,Estado do Rio de Janeiro,Brazil,-22.9028,-43.2075
580056,20606901,8,10/15/13,Citizen (Brazil),"Social,General Population / Civilian / Social",Brazil,Demonstrate or rally,141,-6.5,Unspecified Actor,Unspecified,Unidentified/Unspecified,,28082693,1,Agence France-Presse,Rio de Janeiro,Rio De Janeiro,Estado do Rio de Janeiro,Brazil,-22.9028,-43.2075
580068,20606928,8,10/15/13,Protester (Brazil),"Dissident,Protestors / Popular Opposition / Mobs",Brazil,Demonstrate or rally,141,-6.5,Unspecified Actor,Unspecified,Unidentified/Unspecified,,28082919,5,Associated Press Newswires,Sao Paulo,Sao Paulo,Estado de Sao Paulo,Brazil,-23.5475,-46.6361
580087,20606969,8,10/15/13,Protester (Brazil),"Dissident,Protestors / Popular Opposition / Mobs",Brazil,Demonstrate or rally,141,-6.5,Unspecified Actor,Unspecified,Unidentified/Unspecified,,28083029,2,Agencia EFE - Servi̤o em portugu̻s,Sao Paulo,Sao Paulo,Estado de Sao Paulo,Brazil,-23.5475,-46.6361
580088,20606970,8,10/15/13,Citizen (Brazil),"Social,General Population / Civilian / Social",Brazil,Demonstrate or rally,141,-6.5,Unspecified Actor,Unspecified,Unidentified/Unspecified,,28083029,3,Agencia EFE - Servi̤o em portugu̻s,Sao Paulo,Sao Paulo,Estado de Sao Paulo,Brazil,-23.5475,-46.6361
580091,20606972,8,10/15/13,Citizen (Brazil),"Social,General Population / Civilian / Social",Brazil,Demonstrate or rally,141,-6.5,Unspecified Actor,Unspecified,Unidentified/Unspecified,,28083044,2,AP Spanish Worldstream,Rio de Janeiro,Rio De Janeiro,Estado do Rio de Janeiro,Brazil,-22.9028,-43.2075
580092,20606973,8,10/15/13,Protester (Brazil),"Dissident,Protestors / Popular Opposition / Mobs",Brazil,Demonstrate or rally,141,-6.5,Unspecified Actor,Unspecified,Unidentified/Unspecified,,28083044,4,AP Spanish Worldstream,Sao Paulo,Sao Paulo,Estado de Sao Paulo,Brazil,-23.5475,-46.6361
616364,20679071,8,11/2/13,Citizen (Brazil),"Social,General Population / Civilian / Social",Brazil,Demonstrate or rally,141,-6.5,Unspecified Actor,Unspecified,Unidentified/Unspecified,,32083553,2,EFE News Service,Rocinha,Guaraniacu,Estado do Parana,Brazil,-25.1167,-52.85
616365,20679072,8,11/2/13,Protester (Brazil),"Protestors / Popular Opposition / Mobs,Dissident",Brazil,Demonstrate or rally,141,-6.5,Unspecified Actor,Unspecified,Unidentified/Unspecified,,32083553,3,EFE News Service,Rocinha,Guaraniacu,Estado do Parana,Brazil,-25.1167,-52.85
616413,20679139,8,11/2/13,Protester (Brazil),"Protestors / Popular Opposition / Mobs,Dissident",Brazil,Demonstrate or rally,141,-6.5,Unspecified Actor,Unspecified,Unidentified/Unspecified,,32083680,1,AP Spanish Worldstream,Rio de Janeiro,Rio De Janeiro,Estado do Rio de Janeiro,Brazil,-22.9028,-43.2075
616414,20679140,8,11/2/13,Protester (Brazil),"Protestors / Popular Opposition / Mobs,Dissident",Brazil,Demonstrate or rally,141,-6.5,Unspecified Actor,Unspecified,Unidentified/Unspecified,,32083680,5,AP Spanish Worldstream,Rio de Janeiro,Rio De Janeiro,Estado do Rio de Janeiro,Brazil,-22.9028,-43.2075
616440,20679169,8,11/2/13,Citizen (Brazil),"Social,General Population / Civilian / Social",Brazil,Demonstrate or rally,141,-6.5,Unspecified Actor,Unspecified,Unidentified/Unspecified,,32083714,1,Agence France-Presse,Rocinha,Guaraniacu,Estado do Parana,Brazil,-25.1167,-52.85
616454,20679185,8,11/2/13,Protester (Brazil),"Protestors / Popular Opposition / Mobs,Dissident",Brazil,Demonstrate or rally,141,-6.5,Unspecified Actor,Unspecified,Unidentified/Unspecified,,32083742,4,Associated Press Newswires,Rocinha,Guaraniacu,Estado do Parana,Brazil,-25.1167,-52.85
616466,20679197,8,11/2/13,Citizen (Brazil),"Social,General Population / Civilian / Social",Brazil,Demonstrate or rally,141,-6.5,Unspecified Actor,Unspecified,Unidentified/Unspecified,,32083762,2,Agencia EFE - Servi̤o em portugu̻s,Rio de Janeiro,Rio De Janeiro,Estado do Rio de Janeiro,Brazil,-22.9028,-43.2075
617038,20679819,8,11/2/13,Activist (Guinea),"Human Rights NGOs,Nongovernmental Organizations / Activists,Nongovernmental Organization (International),Human Rights IGOs",Guinea,Demonstrate or rally,141,-6.5,Unspecified Actor,Unspecified,Unidentified/Unspecified,,32084849,4,Folha de Ṣo Paulo,Seropedica,Seropedica,Estado do Rio de Janeiro,Brazil,-22.7439,-43.7075
627957,20703941,8,11/8/13,Member of the Judiciary (Brazil),"Government,Judicial",Brazil,Reject,120,-4,Men (Brazil),"Social,General Population / Civilian / Social",General Population/Civilian,Brazil,32123109,1,All Africa,Embu,Embu,Estado de Sao Paulo,Brazil,-23.6489,-46.8522
627959,20703942,8,11/8/13,Member of the Judiciary (Brazil),"Government,Judicial",Brazil,"Arrest, detain, or charge with legal action",173,-5,Citizen (Brazil),"Social,General Population / Civilian / Social",General Population/Civilian,Brazil,32123109,6,All Africa,Embu,Embu,Estado de Sao Paulo,Brazil,-23.6489,-46.8522
628474,20704492,8,11/8/13,Brazil,,Brazil,"Arrest, detain, or charge with legal action",173,-5,Citizen (Brazil),"Social,General Population / Civilian / Social",General Population/Civilian,Brazil,32124211,3,O Estado de Ṣo Paulo,Piracicaba,Piracicaba,Estado de Sao Paulo,Brazil,-22.7253,-47.6492
628475,20704493,8,11/8/13,Brazil,,Brazil,"Arrest, detain, or charge with legal action",173,-5,Citizen (Brazil),"Social,General Population / Civilian / Social",General Population/Civilian,Brazil,32124211,4,O Estado de Ṣo Paulo,Sao Paulo,Sao Paulo,Estado de Sao Paulo,Brazil,-23.5475,-46.6361
628476,20704494,8,11/8/13,Brazil,,Brazil,"Arrest, detain, or charge with legal action",173,-5,Citizen (Brazil),"Social,General Population / Civilian / Social",General Population/Civilian,Brazil,32124223,2,O Estado de Ṣo Paulo,Piracicaba,Piracicaba,Estado de Sao Paulo,Brazil,-22.7253,-47.6492
628477,20704495,8,11/8/13,Brazil,,Brazil,"Arrest, detain, or charge with legal action",173,-5,Citizen (Brazil),"Social,General Population / Civilian / Social",General Population/Civilian,Brazil,32124223,3,O Estado de Ṣo Paulo,Sao Paulo,Sao Paulo,Estado de Sao Paulo,Brazil,-23.5475,-46.6361
628726,20704759,8,11/8/13,Police (Brazil),"Police,Government",Brazil,"Arrest, detain, or charge with legal action",173,-5,Men (Brazil),"Social,General Population / Civilian / Social",General Population/Civilian,Brazil,32124736,4,Folha de Ṣo Paulo,Cotia,Alto Parnaiba,Estado do Maranhao,Brazil,-9.53333,-46.1167
629127,20705210,8,11/8/13,Police (Brazil),"Police,Government",Brazil,Investigate,90,-2,Citizen (Canada),"Social,General Population / Civilian / Social",General Population/Civilian,Canada,32125827,1,Straits Times,Rio de Janeiro,Rio De Janeiro,Estado do Rio de Janeiro,Brazil,-22.9028,-43.2075
694992,20837167,8,12/10/13,Fran̤ois Hollande,"Elite,Legislative / Parliamentary,Executive,Government,Lower House,Executive Office",France,Express intent to meet or negotiate,36,4,Brazil,,NA,Brazil,32387831,5,O Globo,Brasilia,Brasilia,Distrito Federal,Brazil,-15.7797,-47.9297
695094,20837302,8,12/10/13,Fran̤ois Hollande,"Elite,Legislative / Parliamentary,Executive,Government,Lower House,Executive Office",France,Express intent to meet or negotiate,36,4,Brazil,,NA,Brazil,32388153,1,Agence France-Presse,Presidente Medici,Presidente Medici,Estado de Rondonia,Brazil,-11.1753,-61.9014
695095,20837303,8,12/10/13,Fran̤ois Hollande,"Elite,Legislative / Parliamentary,Executive,Government,Lower House,Executive Office",France,Make a visit,42,1.9,Brazil,,NA,Brazil,32388153,2,Agence France-Presse,Sao Paulo,Sao Paulo,Estado de Sao Paulo,Brazil,-23.5475,-46.6361
695112,20837323,8,12/10/13,Fran̤ois Hollande,"Elite,Legislative / Parliamentary,Executive,Government,Lower House,Executive Office",France,Express intent to meet or negotiate,36,4,Brazil,,NA,Brazil,32388180,1,Agence France-Presse,Presidente Medici,Presidente Medici,Estado de Rondonia,Brazil,-11.1753,-61.9014
695113,20837324,8,12/10/13,Fran̤ois Hollande,"Elite,Legislative / Parliamentary,Executive,Government,Lower House,Executive Office",France,Make a visit,42,1.9,Brazil,,NA,Brazil,32388180,2,Agence France-Presse,Sao Paulo,Sao Paulo,Estado de Sao Paulo,Brazil,-23.5475,-46.6361
695205,20837428,8,12/10/13,Alexandre Tombini,"Finance / Economy / Commerce / Trade Ministry,Executive,Government",Brazil,Demand,100,-5,Brazil,,NA,Brazil,32388337,2,Dow Jones News Service,Banco,Laje,Estado da Bahia,Brazil,-13.1667,-39.3333
695207,20837430,8,12/10/13,Alexandre Tombini,"Finance / Economy / Commerce / Trade Ministry,Executive,Government",Brazil,Demand,100,-5,Brazil,,NA,Brazil,32388338,2,Dow Jones News Service,Banco,Laje,Estado da Bahia,Brazil,-13.1667,-39.3333
696189,20838501,8,12/10/13,Bill Clinton,"Ideological,(National) Major Party,Center Left,Parties",United States,Make a visit,42,1.9,Brazil,,NA,Brazil,32390222,1,O Estado de Ṣo Paulo,,,,Brazil,-15.8307,-47.6127
41734,19557634,7,1/24/13,European Union,"International Government Organization,Regional Diplomatic IGOs,Regional",,Express intent to cooperate,30,4,Brazil,,NA,Brazil,18213345,2,Agencia EFE - Servi̤o em portugu̻s,Brasilia,Brasilia,Distrito Federal,Brazil,-15.7797,-47.9297
41761,19557665,7,1/24/13,European Union,"International Government Organization,Regional Diplomatic IGOs,Regional",,Sign formal agreement,57,8,Brazil,,NA,Brazil,18213414,1,Agencia EFE - Servi̤o em portugu̻s,Brasilia,Brasilia,Distrito Federal,Brazil,-15.7797,-47.9297
41770,19557674,7,1/24/13,European Union,"International Government Organization,Regional Diplomatic IGOs,Regional",,Praise or endorse,51,3.4,France,,NA,France,18213447,6,Reuters News,Brasilia,Brasilia,Distrito Federal,Brazil,-15.7797,-47.9297
42207,19558190,7,1/24/13,Equatorial Guinea,,Equatorial Guinea,Express intent to engage in diplomatic cooperation (such as policy support),32,4.5,Brazil,,NA,Brazil,18214551,1,PNA (Philippines News Agency),Brasilia,Brasilia,Distrito Federal,Brazil,-15.7797,-47.9297
42802,19558848,7,1/24/13,Settler (Brazil),"General Population / Civilian / Social,Social",Brazil,Occupy territory,192,-9.5,Brazil,,NA,Brazil,18215971,1,Folha de Ṣo Paulo,Cosmopolis,Cosmopolis,Estado de Sao Paulo,Brazil,-22.6458,-47.1961
43041,19559101,7,1/24/13,Equatorial Guinea,,Equatorial Guinea,Express intent to engage in diplomatic cooperation (such as policy support),32,4.5,Brazil,,NA,Brazil,18216533,1,Xinhua News Agency,Brasilia,Brasilia,Distrito Federal,Brazil,-15.7797,-47.9297
43066,19559128,7,1/24/13,Farm Worker (Brazil),"Agricultural,Social",Brazil,Threaten with military force,138,-7,Brazil,,NA,Brazil,18216596,1,Gazeta do Povo,Sao Paulo,Sao Paulo,Estado de Sao Paulo,Brazil,-23.5475,-46.6361
47258,19567440,7,1/27/13,Bangladesh,,Bangladesh,fight with small arms and light weapons,193,-10,Brazil,,NA,Brazil,18203363,1,Reuters - Noticias Latinoamericanas,,,,Brazil,-15.8307,-47.6127
47396,19567596,7,1/27/13,Dilma Rousseff,"Government,Far Left,Executive Office,Executive,Parties,Ideological,(National) Major Party,Elite",Brazil,Make a visit,42,1.9,Brazil,,NA,Brazil,18203742,2,Agencia EFE - Servi̤o em portugu̻s,Santa Maria,Poco Redondo,Estado de Sergipe,Brazil,-9.71667,-37.7167
47450,19567659,7,1/27/13,Mahmoud Abbas,"Government,Elite,Executive Office,Executive",Occupied Palestinian Territory,Make a visit,42,1.9,Africa,,NA,,18203883,3,Indo-Asian News Service,Africa,,Estado do Rio Grande do Norte,Brazil,-5.74057,-35.2117
47517,19567730,7,1/27/13,Dilma Rousseff,"Government,Far Left,Executive Office,Executive,Parties,Ideological,(National) Major Party,Elite",Brazil,Make a visit,42,1.9,Brazil,,NA,Brazil,18204048,4,ANSA - Spanish Service (BASP),Santa Maria,Poco Redondo,Estado de Sergipe,Brazil,-9.71667,-37.7167
47572,19567795,7,1/27/13,Dilma Rousseff,"Government,Far Left,Executive Office,Executive,Parties,Ideological,(National) Major Party,Elite",Brazil,Halt negotiations,164,-6.5,Chile,,NA,Chile,18204227,4,Agence France-Presse,Santa Maria,Poco Redondo,Estado de Sergipe,Brazil,-9.71667,-37.7167
47619,19567845,7,1/27/13,Mahmoud Abbas,"Government,Elite,Executive Office,Executive",Occupied Palestinian Territory,Make a visit,42,1.9,Africa,,NA,,18204299,3,Xinhua News Agency,Africa,,Estado do Rio Grande do Norte,Brazil,-5.74057,-35.2117
47684,19567914,7,1/27/13,Dilma Rousseff,"Government,Far Left,Executive Office,Executive,Parties,Ideological,(National) Major Party,Elite",Brazil,Reduce or break diplomatic relations,161,-4,Chile,,NA,Chile,18204477,1,Agence France-Presse,,,,Brazil,-30,-54
63209,19611527,7,2/4/13,Police (France),"Government,Police",France,Use conventional military force,190,-10,Men (France),"Social,General Population / Civilian / Social",General Population/Civilian,France,18339747,2,O Estado de Ṣo Paulo,Joinville,Joinville,Estado de Santa Catarina,Brazil,-26.3044,-48.8456
63210,19611528,7,2/4/13,Military Police (Brazil),"Government,Military",Brazil,"Arrest, detain, or charge with legal action",173,-5,Citizen (Brazil),"General Population / Civilian / Social,Social",General Population/Civilian,Brazil,18339749,1,O Estado de Ṣo Paulo,,,,Brazil,-15.8307,-47.6127
63211,19611531,7,2/4/13,Police (Brazil),"Government,Police",Brazil,fight with small arms and light weapons,193,-10,Citizen (Brazil),"General Population / Civilian / Social,Social",General Population/Civilian,Brazil,18339756,2,O Estado de Ṣo Paulo,Joinville,Joinville,Estado de Santa Catarina,Brazil,-26.3044,-48.8456
63214,19611534,7,2/4/13,Police (Brazil),"Government,Police",Brazil,fight with small arms and light weapons,193,-10,Citizen (Brazil),"General Population / Civilian / Social,Social",General Population/Civilian,Brazil,18339758,2,O Estado de Ṣo Paulo,Joinville,Joinville,Estado de Santa Catarina,Brazil,-26.3044,-48.8456
63387,19611716,7,2/4/13,Police (Brazil),"Government,Police",Brazil,Use conventional military force,190,-10,Citizen (Brazil),"General Population / Civilian / Social,Social",General Population/Civilian,Brazil,18340184,4,Folha de Ṣo Paulo,Joinville,Joinville,Estado de Santa Catarina,Brazil,-26.3044,-48.8456
63603,19611936,7,2/4/13,Police (Brazil),"Government,Police",Brazil,fight with small arms and light weapons,193,-10,Citizen (Brazil),"General Population / Civilian / Social,Social",General Population/Civilian,Brazil,18340651,3,Gazeta do Povo,Joinville,Joinville,Estado de Santa Catarina,Brazil,-26.3044,-48.8456
63855,19612192,7,2/4/13,Police (Brazil),"Government,Police",Brazil,Use conventional military force,190,-10,Citizen (Brazil),"General Population / Civilian / Social,Social",General Population/Civilian,Brazil,18341681,1,Thai News Service,Santa Maria,Poco Redondo,Estado de Sergipe,Brazil,-9.71667,-37.7167
86659,19706416,7,2/15/13,Thief (Brazil),"Criminals / Gangs,Dissident",Brazil,Use unconventional violence,180,-9,Citizen (Brazil),"General Population / Civilian / Social,Social",General Population/Civilian,Brazil,21719886,1,O Estado de Ṣo Paulo,Sao Paulo,Sao Paulo,Estado de Sao Paulo,Brazil,-23.5475,-46.6361
86660,19706417,7,2/15/13,Thief (Brazil),"Criminals / Gangs,Dissident",Brazil,Use unconventional violence,180,-9,Citizen (Brazil),"General Population / Civilian / Social,Social",General Population/Civilian,Brazil,21719890,1,O Estado de Ṣo Paulo,Sao Paulo,Sao Paulo,Estado de Sao Paulo,Brazil,-23.5475,-46.6361
86661,19706418,7,2/15/13,Court Judge (Brazil),"Government,Judicial",Brazil,Criticize or denounce,111,-2,Citizen (Brazil),"General Population / Civilian / Social,Social",General Population/Civilian,Brazil,21719894,2,O Estado de Ṣo Paulo,Fortaleza,Fortaleza,Estado do Ceara,Brazil,-3.71722,-38.5431
86662,19706419,7,2/15/13,Court Judge (Brazil),"Government,Judicial",Brazil,"Arrest, detain, or charge with legal action",173,-5,Citizen (Brazil),"General Population / Civilian / Social,Social",General Population/Civilian,Brazil,21719894,2,O Estado de Ṣo Paulo,Fortaleza,Fortaleza,Estado do Ceara,Brazil,-3.71722,-38.5431
86840,19706615,7,2/15/13,Brazil,,Brazil,"Arrest, detain, or charge with legal action",173,-5,Citizen (Brazil),"General Population / Civilian / Social,Social",General Population/Civilian,Brazil,21720297,1,Folha de Ṣo Paulo,,,,Brazil,-15.8307,-47.6127
86841,19706616,7,2/15/13,Marcos Val̩rio Fernandes de Souza,"Business,Social,Consulting / Financial Services Business",Brazil,Accuse,112,-2,Citizen (Brazil),"General Population / Civilian / Social,Social",General Population/Civilian,Brazil,21720305,1,Folha de Ṣo Paulo,Minas Gerais,Marechal Thaumaturgo,Estado do Acre,Brazil,-8.96667,-72.7833
86938,19706723,7,2/15/13,Brazil,,Brazil,Use conventional military force,190,-10,Citizen (Brazil),"General Population / Civilian / Social,Social",General Population/Civilian,Brazil,21720562,4,O Globo,Brasilia,Brasilia,Distrito Federal,Brazil,-15.7797,-47.9297
97396,19747672,7,2/21/13,Russia,,Russian Federation,Express intent to cooperate economically,311,5.2,Brazil,,NA,Brazil,26448931,2,ITAR Tass,Brasilia,Brasilia,Distrito Federal,Brazil,-15.7797,-47.9297
97502,19747793,7,2/21/13,Brazil,,Brazil,Sign formal agreement,57,8,Russia,,NA,Russian Federation,26449195,1,ANSA - Spanish Service (BASP),Brasilia,Brasilia,Distrito Federal,Brazil,-15.7797,-47.9297
97503,19747794,7,2/21/13,Russia,,Russian Federation,Sign formal agreement,57,8,Brazil,,NA,Brazil,26449195,1,ANSA - Spanish Service (BASP),Brasilia,Brasilia,Distrito Federal,Brazil,-15.7797,-47.9297
98348,19753495,7,2/21/13,Brazil,,Brazil,Host a visit,43,2.8,Dmitry Anatolyevich Medvedev,"Orthodox,Executive Office,International Religious,Executive,Elite,Government",Executive Branch,Russian Federation,26450848,1,ITAR Tass,,,,Brazil,-15.8307,-47.6127
98349,19753494,7,2/21/13,Dmitry Anatolyevich Medvedev,"Orthodox,Executive Office,International Religious,Executive,Elite,Government",Russian Federation,Make a visit,42,1.9,Brazil,,NA,Brazil,26450848,1,ITAR Tass,,,,Brazil,-15.8307,-47.6127
98425,19753592,7,2/21/13,Brazil,,Brazil,Host a visit,43,2.8,Dmitry Anatolyevich Medvedev,"Orthodox,Executive Office,International Religious,Executive,Elite,Government",Executive Branch,Russian Federation,26451038,2,The Wall Street Journal,Brasilia,Brasilia,Distrito Federal,Brazil,-15.7797,-47.9297
98426,19753590,7,2/21/13,Dilma Rousseff,"Executive Office,Elite,Far Left,Parties,Government,(National) Major Party,Executive,Ideological",Brazil,Engage in negotiation,46,7,Dmitry Anatolyevich Medvedev,"Orthodox,Executive Office,International Religious,Executive,Elite,Government",Executive Branch,Russian Federation,26451038,2,The Wall Street Journal,Brasilia,Brasilia,Distrito Federal,Brazil,-15.7797,-47.9297
98427,19753591,7,2/21/13,Michel Temer,"Ideological,Executive Office,Parties,Government,(National) Major Party,Executive,Centrist",Brazil,Engage in negotiation,46,7,Dmitry Anatolyevich Medvedev,"Orthodox,Executive Office,International Religious,Executive,Elite,Government",Executive Branch,Russian Federation,26451038,2,The Wall Street Journal,Brasilia,Brasilia,Distrito Federal,Brazil,-15.7797,-47.9297
98428,19753587,7,2/21/13,Dmitry Anatolyevich Medvedev,"Orthodox,Executive Office,International Religious,Executive,Elite,Government",Russian Federation,Make a visit,42,1.9,Brazil,,NA,Brazil,26451038,2,The Wall Street Journal,Brasilia,Brasilia,Distrito Federal,Brazil,-15.7797,-47.9297
98429,19753588,7,2/21/13,Dmitry Anatolyevich Medvedev,"Orthodox,Executive Office,International Religious,Executive,Elite,Government",Russian Federation,Engage in negotiation,46,7,Dilma Rousseff,"Executive Office,Elite,Far Left,Parties,Government,(National) Major Party,Executive,Ideological",Executive Branch,Brazil,26451038,2,The Wall Street Journal,Brasilia,Brasilia,Distrito Federal,Brazil,-15.7797,-47.9297
98430,19753589,7,2/21/13,Dmitry Anatolyevich Medvedev,"Orthodox,Executive Office,International Religious,Executive,Elite,Government",Russian Federation,Engage in negotiation,46,7,Michel Temer,"Ideological,Executive Office,Parties,Government,(National) Major Party,Executive,Centrist",Executive Branch,Brazil,26451038,2,The Wall Street Journal,Brasilia,Brasilia,Distrito Federal,Brazil,-15.7797,-47.9297
98474,19753643,7,2/21/13,Senate (Australia),"Legislative / Parliamentary,Government,Upper House",Australia,Criticize or denounce,111,-2,Dilma Rousseff,"Executive Office,Elite,Far Left,Parties,Government,(National) Major Party,Executive,Ideological",Executive Branch,Brazil,26451170,6,O Globo,Neves,Jucati,Estado de Pernambuco,Brazil,-8.75,-36.4333
98553,19753728,7,2/21/13,Men (Brazil),"General Population / Civilian / Social,Social",Brazil,Occupy territory,192,-9.5,Brazil,,NA,Brazil,26451352,1,Gazeta do Povo,Curitiba,Curitiba,Estado do Parana,Brazil,-25.4278,-49.2731
99047,19754347,7,2/21/13,Angola,,Angola,Engage in diplomatic cooperation,50,3.5,Brazil,,NA,Brazil,34165205,3,All Africa,Africa,,Estado do Rio Grande do Norte,Brazil,-5.74057,-35.2117
